# JMH version: 1.35
# VM version: JDK 17.0.5, OpenJDK 64-Bit Server VM, 17.0.5+0
# VM invoker: /opt/homebrew/Cellar/openjdk@17/17.0.5/libexec/openjdk.jdk/Contents/Home/bin/java
# VM options: -Xms256M -Xmx256M -Xms1G -Xmx1G -XX:+UseG1GC
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 10 iterations, 10 s each
# Measurement: 3 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: trile.ConcurrencyBenchmark.coroutine
# Parameters: (bufferSize = 128, numberEvent = 100, poolSize = 8)

# Run progress: 0.00% complete, ETA 04:20:00
# Fork: 1 of 5
# Warmup Iteration   1: 305414.249 ops/s
# Warmup Iteration   2: 306872.883 ops/s
# Warmup Iteration   3: 307790.495 ops/s
# Warmup Iteration   4: 302652.755 ops/s
# Warmup Iteration   5: 303462.184 ops/s
# Warmup Iteration   6: 302816.153 ops/s
# Warmup Iteration   7: 304607.851 ops/s
# Warmup Iteration   8: 306433.575 ops/s
# Warmup Iteration   9: 308872.547 ops/s
# Warmup Iteration  10: 309244.136 ops/s
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   328.208 MB/sec
                 ·gc.alloc.rate.norm:              3636.687 B/op
                 ·gc.churn.G1_Eden_Space:          291.309 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3227.830 B/op
                 ·gc.churn.G1_Survivor_Space:      ≈ 10⁻³ MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.004 B/op
                 ·gc.count:                        5.000 counts
                 ·gc.time:                         4.000 ms

Iteration   3: 99908.758 ops/s
                 ·class.load:                      15272.912 classes/sec
                 ·class.load.norm:                 0.001 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   17.254 MB/sec
                 ·gc.alloc.rate.norm:              196.379 B/op
                 ·gc.churn.G1_Eden_Space:          339.146 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3860.005 B/op
                 ·gc.churn.G1_Survivor_Space:      ≈ 10⁻⁵ MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: ≈ 10⁻⁴ B/op
                 ·gc.count:                        6.000 counts
                 ·gc.time:                         4.000 ms


# Run progress: 85.83% complete, ETA 00:39:24
# Fork: 4 of 5
# Warmup Iteration   1: 96983.857 ops/s
# Warmup Iteration   2: 98524.398 ops/s
# Warmup Iteration   3: 101395.641 ops/s
# Warmup Iteration   4: 102181.824 ops/s
# Warmup Iteration   5: 102311.724 ops/s
# Warmup Iteration   6: 101867.065 ops/s
# Warmup Iteration   7: 101401.771 ops/s
# Warmup Iteration   8: 102500.649 ops/s
# Warmup Iteration   9: 102356.493 ops/s
# Warmup Iteration  10: 102249.786 ops/s
Iteration   1: 102347.426 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   337.690 MB/sec
                 ·gc.alloc.rate.norm:              3637.592 B/op
                 ·gc.churn.G1_Eden_Space:          349.503 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3764.845 B/op
                 ·gc.churn.G1_Survivor_Space:      0.001 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.006 B/op
                 ·gc.count:                        6.000 counts
                 ·gc.time:                         4.000 ms

Iteration   2: 102277.758 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   337.609 MB/sec
                 ·gc.alloc.rate.norm:              3638.127 B/op
                 ·gc.churn.G1_Eden_Space:          349.474 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3765.984 B/op
                 ·gc.churn.G1_Survivor_Space:      ≈ 10⁻³ MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.004 B/op
                 ·gc.count:                        6.000 counts
                 ·gc.time:                         4.000 ms

Iteration   3: 102055.518 ops/s
                 ·class.load:                      15562.277 classes/sec
                 ·class.load.norm:                 0.001 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   17.289 MB/sec
                 ·gc.alloc.rate.norm:              195.943 B/op
                 ·gc.churn.G1_Eden_Space:          333.145 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3775.730 B/op
                 ·gc.churn.G1_Survivor_Space:      ≈ 10⁻³ MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.004 B/op
                 ·gc.count:                        6.000 counts
                 ·gc.time:                         5.000 ms


# Run progress: 86.67% complete, ETA 00:37:05
# Fork: 5 of 5
# Warmup Iteration   1: 96619.048 ops/s
# Warmup Iteration   2: 100214.250 ops/s
# Warmup Iteration   3: 99456.027 ops/s
# Warmup Iteration   4: 99247.230 ops/s
# Warmup Iteration   5: 99378.495 ops/s
# Warmup Iteration   6: 99224.909 ops/s
# Warmup Iteration   7: 99145.304 ops/s
# Warmup Iteration   8: 99288.770 ops/s
# Warmup Iteration   9: 99164.161 ops/s
# Warmup Iteration  10: 99093.842 ops/s
Iteration   1: 97733.992 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   333.780 MB/sec
                 ·gc.alloc.rate.norm:              3764.720 B/op
                 ·gc.churn.G1_Eden_Space:          291.289 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3285.463 B/op
                 ·gc.churn.G1_Survivor_Space:      0.001 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.007 B/op
                 ·gc.count:                        5.000 counts
                 ·gc.time:                         3.000 ms

Iteration   2: 98212.150 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   335.374 MB/sec
                 ·gc.alloc.rate.norm:              3763.880 B/op
                 ·gc.churn.G1_Eden_Space:          349.782 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3925.576 B/op
                 ·gc.churn.G1_Survivor_Space:      0.001 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.006 B/op
                 ·gc.count:                        6.000 counts
                 ·gc.time:                         4.000 ms

Iteration   3: 97764.294 ops/s
                 ·class.load:                      15362.057 classes/sec
                 ·class.load.norm:                 0.002 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   16.839 MB/sec
                 ·gc.alloc.rate.norm:              196.795 B/op
                 ·gc.churn.G1_Eden_Space:          337.268 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3941.592 B/op
                 ·gc.churn.G1_Survivor_Space:      0.001 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.008 B/op
                 ·gc.count:                        6.000 counts
                 ·gc.time:                         5.000 ms



Result "trile.ConcurrencyBenchmark.scope":
  100729.011 ±(99.9%) 1853.473 ops/s [Average]
  (min, avg, max) = (97733.992, 100729.011, 102647.851), stdev = 1733.740
  CI (99.9%): [98875.538, 102582.484] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.scope:·class.load":
  5126.748 ±(99.9%) 8023.353 classes/sec [Average]
  (min, avg, max) = (≈ 0, 5126.748, 15562.277), stdev = 7505.050
  CI (99.9%): [≈ 0, 13150.101] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.scope:·class.load.norm":
  ≈ 10⁻³ classes/op

Secondary result "trile.ConcurrencyBenchmark.scope:·class.unload":
  ≈ 0 classes/sec

Secondary result "trile.ConcurrencyBenchmark.scope:·class.unload.norm":
  ≈ 0 classes/op

Secondary result "trile.ConcurrencyBenchmark.scope:·gc.alloc.rate":
  230.215 ±(99.9%) 166.017 MB/sec [Average]
  (min, avg, max) = (16.839, 230.215, 345.975), stdev = 155.292
  CI (99.9%): [64.199, 396.232] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.scope:·gc.alloc.rate.norm":
  2521.455 ±(99.9%) 1812.617 B/op [Average]
  (min, avg, max) = (195.943, 2521.455, 3764.720), stdev = 1695.523
  CI (99.9%): [708.837, 4334.072] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.scope:·gc.churn.G1_Eden_Space":
  333.720 ±(99.9%) 24.319 MB/sec [Average]
  (min, avg, max) = (291.288, 333.720, 349.782), stdev = 22.748
  CI (99.9%): [309.401, 358.039] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.scope:·gc.churn.G1_Eden_Space.norm":
  3697.914 ±(99.9%) 269.465 B/op [Average]
  (min, avg, max) = (3162.831, 3697.914, 3941.592), stdev = 252.058
  CI (99.9%): [3428.449, 3967.380] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.scope:·gc.churn.G1_Survivor_Space":
  0.001 ±(99.9%) 0.001 MB/sec [Average]
  (min, avg, max) = (≈ 10⁻⁵, 0.001, 0.001), stdev = 0.001
  CI (99.9%): [≈ 10⁻⁴, 0.001] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.scope:·gc.churn.G1_Survivor_Space.norm":
  0.006 ±(99.9%) 0.004 B/op [Average]
  (min, avg, max) = (≈ 10⁻⁴, 0.006, 0.014), stdev = 0.003
  CI (99.9%): [0.002, 0.009] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.scope:·gc.count":
  87.000 ±(99.9%) 0.001 counts [Sum]
  (min, avg, max) = (5.000, 5.800, 6.000), stdev = 0.414
  CI (99.9%): [87.000, 87.000] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.scope:·gc.time":
  63.000 ±(99.9%) 0.001 ms [Sum]
  (min, avg, max) = (3.000, 4.200, 5.000), stdev = 0.561
  CI (99.9%): [63.000, 63.000] (assumes normal distribution)


# JMH version: 1.35
# VM version: JDK 17.0.5, OpenJDK 64-Bit Server VM, 17.0.5+0
# VM invoker: /opt/homebrew/Cellar/openjdk@17/17.0.5/libexec/openjdk.jdk/Contents/Home/bin/java
# VM options: -Xms256M -Xmx256M -Xms1G -Xmx1G -XX:+UseG1GC
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 10 iterations, 10 s each
# Measurement: 3 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: trile.ConcurrencyBenchmark.scope
# Parameters: (bufferSize = 2048, numberEvent = 100, poolSize = 64)

# Run progress: 87.50% complete, ETA 00:34:46
# Fork: 1 of 5
# Warmup Iteration   1: 84074.043 ops/s
# Warmup Iteration   2: 90898.686 ops/s
# Warmup Iteration   3: 90331.488 ops/s
# Warmup Iteration   4: 89708.444 ops/s
# Warmup Iteration   5: 89609.546 ops/s
# Warmup Iteration   6: 88171.144 ops/s
# Warmup Iteration   7: 89408.621 ops/s
# Warmup Iteration   8: 89895.250 ops/s
# Warmup Iteration   9: 89452.286 ops/s
# Warmup Iteration  10: 89744.978 ops/s
Iteration   1: 89766.002 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   303.920 MB/sec
                 ·gc.alloc.rate.norm:              3732.507 B/op
                 ·gc.churn.G1_Eden_Space:          349.628 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     4293.859 B/op
                 ·gc.churn.G1_Survivor_Space:      0.001 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.011 B/op
                 ·gc.count:                        6.000 counts
                 ·gc.time:                         5.000 ms

Iteration   2: 89886.726 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   304.292 MB/sec
                 ·gc.alloc.rate.norm:              3731.186 B/op
                 ·gc.churn.G1_Eden_Space:          291.400 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3573.104 B/op
                 ·gc.churn.G1_Survivor_Space:      ≈ 10⁻³ MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.005 B/op
                 ·gc.count:                        5.000 counts
                 ·gc.time:                         4.000 ms

Iteration   3: 89853.516 ops/s
                 ·class.load:                      15437.080 classes/sec
                 ·class.load.norm:                 0.002 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   15.529 MB/sec
                 ·gc.alloc.rate.norm:              198.381 B/op
                 ·gc.churn.G1_Eden_Space:          279.757 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3573.831 B/op
                 ·gc.churn.G1_Survivor_Space:      0.001 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.008 B/op
                 ·gc.count:                        5.000 counts
                 ·gc.time:                         4.000 ms


# Run progress: 88.33% complete, ETA 00:32:26
# Fork: 2 of 5
# Warmup Iteration   1: 85994.755 ops/s
# Warmup Iteration   2: 90856.180 ops/s
# Warmup Iteration   3: 90641.776 ops/s
# Warmup Iteration   4: 89099.565 ops/s
# Warmup Iteration   5: 88801.887 ops/s
# Warmup Iteration   6: 88710.530 ops/s
# Warmup Iteration   7: 88349.828 ops/s
# Warmup Iteration   8: 87669.322 ops/s
# Warmup Iteration   9: 87941.164 ops/s
# Warmup Iteration  10: 89220.011 ops/s
Iteration   1: 88415.375 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   287.903 MB/sec
                 ·gc.alloc.rate.norm:              3589.029 B/op
                 ·gc.churn.G1_Eden_Space:          291.309 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3631.488 B/op
                 ·gc.churn.G1_Survivor_Space:      0.001 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.013 B/op
                 ·gc.count:                        5.000 counts
                 ·gc.time:                         4.000 ms

Iteration   2: 89395.372 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   290.990 MB/sec
                 ·gc.alloc.rate.norm:              3587.674 B/op
                 ·gc.churn.G1_Eden_Space:          291.381 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3592.491 B/op
                 ·gc.churn.G1_Survivor_Space:      0.001 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.008 B/op
                 ·gc.count:                        5.000 counts
                 ·gc.time:                         3.000 ms

Iteration   3: 88580.548 ops/s
                 ·class.load:                      15361.642 classes/sec
                 ·class.load.norm:                 0.002 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   15.415 MB/sec
                 ·gc.alloc.rate.norm:              198.801 B/op
                 ·gc.churn.G1_Eden_Space:          281.067 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3624.714 B/op
                 ·gc.churn.G1_Survivor_Space:      ≈ 10⁻³ MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.004 B/op
                 ·gc.count:                        5.000 counts
                 ·gc.time:                         4.000 ms


# Run progress: 89.17% complete, ETA 00:30:07
# Fork: 3 of 5
# Warmup Iteration   1: 86604.075 ops/s
# Warmup Iteration   2: 90939.760 ops/s
# Warmup Iteration   3: 89850.498 ops/s
# Warmup Iteration   4: 87090.645 ops/s
# Warmup Iteration   5: 86853.770 ops/s
# Warmup Iteration   6: 86882.212 ops/s
# Warmup Iteration   7: 86925.461 ops/s
# Warmup Iteration   8: 85322.757 ops/s
# Warmup Iteration   9: 87479.544 ops/s
# Warmup Iteration  10: 87243.826 ops/s
Iteration   1: 87198.460 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   285.161 MB/sec
                 ·gc.alloc.rate.norm:              3605.100 B/op
                 ·gc.churn.G1_Eden_Space:          291.267 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3682.304 B/op
                 ·gc.churn.G1_Survivor_Space:      ≈ 10⁻³ MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.005 B/op
                 ·gc.count:                        5.000 counts
                 ·gc.time:                         4.000 ms

Iteration   2: 84163.584 ops/s
                 ·class.load:                  ≈ 0 classes/sec
                 ·class.load.norm:             ≈ 0 classes/op
                 ·class.unload:                ≈ 0 classes/sec
                 ·class.unload.norm:           ≈ 0 classes/op
                 ·gc.alloc.rate:               275.906 MB/sec
                 ·gc.alloc.rate.norm:          3613.145 B/op
                 ·gc.churn.G1_Eden_Space:      291.335 MB/sec
                 ·gc.churn.G1_Eden_Space.norm: 3815.194 B/op
                 ·gc.count:                    5.000 counts
                 ·gc.time:                     5.000 ms

Iteration   3: 87018.035 ops/s
                 ·class.load:                      15423.115 classes/sec
                 ·class.load.norm:                 0.002 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   15.111 MB/sec
                 ·gc.alloc.rate.norm:              199.165 B/op
                 ·gc.churn.G1_Eden_Space:          279.999 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3690.524 B/op
                 ·gc.churn.G1_Survivor_Space:      ≈ 10⁻³ MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.006 B/op
                 ·gc.count:                        5.000 counts
                 ·gc.time:                         4.000 ms


# Run progress: 90.00% complete, ETA 00:27:48
# Fork: 4 of 5
# Warmup Iteration   1: 86474.734 ops/s
# Warmup Iteration   2: 90633.785 ops/s
# Warmup Iteration   3: 90018.853 ops/s
# Warmup Iteration   4: 89025.820 ops/s
# Warmup Iteration   5: 89094.836 ops/s
# Warmup Iteration   6: 88943.753 ops/s
# Warmup Iteration   7: 89113.880 ops/s
# Warmup Iteration   8: 89120.053 ops/s
# Warmup Iteration   9: 88780.255 ops/s
# Warmup Iteration  10: 87140.511 ops/s
Iteration   1: 88578.089 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   300.730 MB/sec
                 ·gc.alloc.rate.norm:              3742.535 B/op
                 ·gc.churn.G1_Eden_Space:          291.319 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3625.413 B/op
                 ·gc.churn.G1_Survivor_Space:      0.001 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.010 B/op
                 ·gc.count:                        5.000 counts
                 ·gc.time:                         4.000 ms

Iteration   2: 88513.339 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   300.538 MB/sec
                 ·gc.alloc.rate.norm:              3742.203 B/op
                 ·gc.churn.G1_Eden_Space:          291.339 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3627.668 B/op
                 ·gc.churn.G1_Survivor_Space:      0.001 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.008 B/op
                 ·gc.count:                        5.000 counts
                 ·gc.time:                         6.000 ms

Iteration   3: 88811.385 ops/s
                 ·class.load:                      15211.404 classes/sec
                 ·class.load.norm:                 0.002 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   15.593 MB/sec
                 ·gc.alloc.rate.norm:              198.701 B/op
                 ·gc.churn.G1_Eden_Space:          283.714 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3615.291 B/op
                 ·gc.churn.G1_Survivor_Space:      ≈ 10⁻⁴ MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.001 B/op
                 ·gc.count:                        5.000 counts
                 ·gc.time:                         4.000 ms


# Run progress: 90.83% complete, ETA 00:25:29
# Fork: 5 of 5
# Warmup Iteration   1: 87587.894 ops/s
# Warmup Iteration   2: 90741.757 ops/s
# Warmup Iteration   3: 90056.632 ops/s
# Warmup Iteration   4: 90051.675 ops/s
# Warmup Iteration   5: 91070.996 ops/s
# Warmup Iteration   6: 91404.497 ops/s
# Warmup Iteration   7: 91146.230 ops/s
# Warmup Iteration   8: 91351.568 ops/s
# Warmup Iteration   9: 90586.888 ops/s
# Warmup Iteration  10: 91523.318 ops/s
Iteration   1: 91318.278 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   308.333 MB/sec
                 ·gc.alloc.rate.norm:              3721.921 B/op
                 ·gc.churn.G1_Eden_Space:          291.336 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3516.755 B/op
                 ·gc.churn.G1_Survivor_Space:      0.001 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.008 B/op
                 ·gc.count:                        5.000 counts
                 ·gc.time:                         4.000 ms

Iteration   2: 91423.061 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   308.604 MB/sec
                 ·gc.alloc.rate.norm:              3720.500 B/op
                 ·gc.churn.G1_Eden_Space:          291.514 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3514.456 B/op
                 ·gc.churn.G1_Survivor_Space:      0.001 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.013 B/op
                 ·gc.count:                        5.000 counts
                 ·gc.time:                         4.000 ms

Iteration   3: 91371.525 ops/s
                 ·class.load:                      15343.462 classes/sec
                 ·class.load.norm:                 0.002 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   15.854 MB/sec
                 ·gc.alloc.rate.norm:              198.027 B/op
                 ·gc.churn.G1_Eden_Space:          337.665 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     4217.767 B/op
                 ·gc.churn.G1_Survivor_Space:      0.001 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.013 B/op
                 ·gc.count:                        6.000 counts
                 ·gc.time:                         5.000 ms



Result "trile.ConcurrencyBenchmark.scope":
  88952.886 ±(99.9%) 2032.965 ops/s [Average]
  (min, avg, max) = (84163.584, 88952.886, 91423.061), stdev = 1901.637
  CI (99.9%): [86919.921, 90985.852] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.scope:·class.load":
  5118.447 ±(99.9%) 8010.249 classes/sec [Average]
  (min, avg, max) = (≈ 0, 5118.447, 15437.080), stdev = 7492.792
  CI (99.9%): [≈ 0, 13128.696] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.scope:·class.load.norm":
  0.001 ±(99.9%) 0.001 classes/op [Average]
  (min, avg, max) = (≈ 0, 0.001, 0.002), stdev = 0.001
  CI (99.9%): [≈ 0, 0.001] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.scope:·class.unload":
  ≈ 0 classes/sec

Secondary result "trile.ConcurrencyBenchmark.scope:·class.unload.norm":
  ≈ 0 classes/op

Secondary result "trile.ConcurrencyBenchmark.scope:·gc.alloc.rate":
  202.925 ±(99.9%) 146.959 MB/sec [Average]
  (min, avg, max) = (15.111, 202.925, 308.604), stdev = 137.465
  CI (99.9%): [55.966, 349.884] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.scope:·gc.alloc.rate.norm":
  2518.592 ±(99.9%) 1816.293 B/op [Average]
  (min, avg, max) = (198.027, 2518.592, 3742.535), stdev = 1698.962
  CI (99.9%): [702.298, 4334.885] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.scope:·gc.churn.G1_Eden_Space":
  295.602 ±(99.9%) 21.567 MB/sec [Average]
  (min, avg, max) = (279.757, 295.602, 349.628), stdev = 20.173
  CI (99.9%): [274.035, 317.169] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.scope:·gc.churn.G1_Eden_Space.norm":
  3706.324 ±(99.9%) 251.325 B/op [Average]
  (min, avg, max) = (3514.456, 3706.324, 4293.859), stdev = 235.090
  CI (99.9%): [3454.999, 3957.649] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.scope:·gc.churn.G1_Survivor_Space":
  0.001 ±(99.9%) 0.001 MB/sec [Average]
  (min, avg, max) = (≈ 0, 0.001, 0.001), stdev = 0.001
  CI (99.9%): [≈ 10⁻⁴, 0.001] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.scope:·gc.churn.G1_Survivor_Space.norm":
  0.007 ±(99.9%) 0.004 B/op [Average]
  (min, avg, max) = (≈ 0, 0.007, 0.013), stdev = 0.004
  CI (99.9%): [0.003, 0.012] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.scope:·gc.count":
  77.000 ±(99.9%) 0.001 counts [Sum]
  (min, avg, max) = (5.000, 5.133, 6.000), stdev = 0.352
  CI (99.9%): [77.000, 77.000] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.scope:·gc.time":
  64.000 ±(99.9%) 0.001 ms [Sum]
  (min, avg, max) = (3.000, 4.267, 6.000), stdev = 0.704
  CI (99.9%): [64.000, 64.000] (assumes normal distribution)


# JMH version: 1.35
# VM version: JDK 17.0.5, OpenJDK 64-Bit Server VM, 17.0.5+0
# VM invoker: /opt/homebrew/Cellar/openjdk@17/17.0.5/libexec/openjdk.jdk/Contents/Home/bin/java
# VM options: -Xms256M -Xmx256M -Xms1G -Xmx1G -XX:+UseG1GC
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 10 iterations, 10 s each
# Measurement: 3 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: trile.ConcurrencyBenchmark.scope
# Parameters: (bufferSize = 2048, numberEvent = 1000000, poolSize = 8)

# Run progress: 91.67% complete, ETA 00:23:10
# Fork: 1 of 5
# Warmup Iteration   1: 6.466 ops/s
# Warmup Iteration   2: 5.818 ops/s
# Warmup Iteration   3: 6.263 ops/s
# Warmup Iteration   4: 6.479 ops/s
# Warmup Iteration   5: 6.353 ops/s
# Warmup Iteration   6: 6.393 ops/s
# Warmup Iteration   7: 6.312 ops/s
